"AVAILABLEMEMORY","CPULOADLAST15MINUTE","CPULOADLAST1MINUTE","CPULOADLAST5MINUTE","FREEMEMORY","FREESWAPMEMORY","TIME","TOTALMEMORY","TOTALSWAPMEMORY","USEDMEMORY","USEDSWAPMEMORY"
"6362","1.64","1.65","1.73","2362","0","00:04:49","15894","0","8200","40"
"6281","1.64","1.65","1.73","2281","0","00:04:50","15894","0","8289","40"
"6258","1.64","1.65","1.73","2258","0","00:04:51","15894","0","8315","40"
"6257","1.64","1.65","1.73","2257","0","00:04:52","15894","0","8315","40"
"6257","1.64","1.65","1.73","2257","0","00:04:53","15894","0","8316","40"
"6257","1.63","1.52","1.70","2257","0","00:04:54","15894","0","8316","40"
"6257","1.63","1.52","1.70","2257","0","00:04:55","15894","0","8316","40"
"6257","1.63","1.52","1.70","2257","0","00:04:56","15894","0","8316","40"
"6257","1.63","1.52","1.70","2257","0","00:04:57","15894","0","8316","40"
"6257","1.63","1.52","1.70","2257","0","00:04:58","15894","0","8316","40"
"6257","1.63","1.48","1.69","2257","0","00:04:59","15894","0","8316","40"
"6257","1.63","1.48","1.69","2257","0","00:05:00","15894","0","8316","40"
"6256","1.63","1.48","1.69","2256","0","00:05:01","15894","0","8316","40"
"6256","1.63","1.48","1.69","2256","0","00:05:02","15894","0","8317","40"
"6256","1.63","1.48","1.69","2256","0","00:05:03","15894","0","8317","40"
"6256","1.62","1.36","1.66","2256","0","00:05:04","15894","0","8317","40"
"6256","1.62","1.36","1.66","2256","0","00:05:05","15894","0","8317","40"
"6256","1.62","1.36","1.66","2256","0","00:05:06","15894","0","8317","40"
"6256","1.62","1.36","1.66","2256","0","00:05:07","15894","0","8317","40"
"6256","1.62","1.36","1.66","2256","0","00:05:08","15894","0","8317","40"
"6255","1.61","1.33","1.65","2255","0","00:05:09","15894","0","8317","40"
"6256","1.61","1.33","1.65","2256","0","00:05:10","15894","0","8317","40"
"6256","1.61","1.33","1.65","2256","0","00:05:11","15894","0","8317","40"
"6256","1.61","1.33","1.65","2256","0","00:05:12","15894","0","8317","40"
"6255","1.61","1.33","1.65","2255","0","00:05:13","15894","0","8318","40"
"6255","1.61","1.22","1.62","2255","0","00:05:14","15894","0","8318","40"
"6255","1.61","1.22","1.62","2255","0","00:05:15","15894","0","8317","40"
"6256","1.61","1.22","1.62","2256","0","00:05:16","15894","0","8317","40"
"6256","1.61","1.22","1.62","2256","0","00:05:17","15894","0","8317","40"
"6256","1.61","1.22","1.62","2256","0","00:05:18","15894","0","8317","40"
"6256","1.60","1.20","1.61","2256","0","00:05:19","15894","0","8317","40"
"6255","1.60","1.20","1.61","2255","0","00:05:20","15894","0","8317","40"
"6255","1.60","1.20","1.61","2255","0","00:05:21","15894","0","8318","40"
"6255","1.60","1.20","1.61","2255","0","00:05:22","15894","0","8318","40"
"6255","1.60","1.20","1.61","2255","0","00:05:23","15894","0","8318","40"
"6255","1.59","1.11","1.58","2255","0","00:05:24","15894","0","8318","40"
"6255","1.59","1.11","1.58","2255","0","00:05:25","15894","0","8318","40"
"6255","1.59","1.11","1.58","2255","0","00:05:26","15894","0","8318","40"
"6255","1.59","1.11","1.58","2255","0","00:05:27","15894","0","8318","40"
"6254","1.59","1.11","1.58","2254","0","00:05:28","15894","0","8318","40"
"6254","1.59","1.10","1.57","2254","0","00:05:29","15894","0","8319","40"
"6254","1.59","1.10","1.57","2254","0","00:05:30","15894","0","8319","40"
"6254","1.59","1.10","1.57","2254","0","00:05:31","15894","0","8319","40"
"6254","1.59","1.10","1.57","2254","0","00:05:32","15894","0","8319","40"
"6254","1.59","1.10","1.57","2254","0","00:05:33","15894","0","8319","40"
"6254","1.58","1.01","1.55","2254","0","00:05:34","15894","0","8318","40"
"6254","1.58","1.01","1.55","2254","0","00:05:35","15894","0","8318","40"
"6255","1.58","1.01","1.55","2254","0","00:05:36","15894","0","8318","40"
"6255","1.58","1.01","1.55","2254","0","00:05:37","15894","0","8318","40"
"6255","1.58","1.01","1.55","2255","0","00:05:38","15894","0","8318","40"
"6254","1.57","0.93","1.52","2254","0","00:05:39","15894","0","8318","40"
"6254","1.57","0.93","1.52","2254","0","00:05:40","15894","0","8319","40"
"6254","1.57","0.93","1.52","2254","0","00:05:41","15894","0","8319","40"
"6254","1.57","0.93","1.52","2254","0","00:05:42","15894","0","8319","40"
"6253","1.57","0.93","1.52","2253","0","00:05:43","15894","0","8319","40"
"6253","1.56","0.85","1.49","2253","0","00:05:44","15894","0","8319","40"
"6254","1.56","0.85","1.49","2254","0","00:05:45","15894","0","8319","40"
"6254","1.56","0.85","1.49","2254","0","00:05:46","15894","0","8319","40"
"6254","1.56","0.85","1.49","2254","0","00:05:47","15894","0","8319","40"
"6254","1.56","0.85","1.49","2254","0","00:05:48","15894","0","8319","40"
"6254","1.56","0.79","1.47","2254","0","00:05:49","15894","0","8319","40"
"6255","1.56","0.79","1.47","2255","0","00:05:50","15894","0","8318","40"
"6255","1.56","0.79","1.47","2255","0","00:05:51","15894","0","8318","40"
"6255","1.56","0.79","1.47","2255","0","00:05:52","15894","0","8318","40"
"6254","1.56","0.79","1.47","2254","0","00:05:53","15894","0","8318","40"
"6255","1.55","0.72","1.44","2255","0","00:05:54","15894","0","8318","40"
"6255","1.55","0.72","1.44","2255","0","00:05:55","15894","0","8318","40"
"6255","1.55","0.72","1.44","2255","0","00:05:56","15894","0","8318","40"
"6254","1.55","0.72","1.44","2254","0","00:05:57","15894","0","8319","40"
"6255","1.55","0.72","1.44","2255","0","00:05:58","15894","0","8318","40"
